Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
0045,YH20OEN,Volkswagen Maxi Life Caddy,Diesel,0,0,Miles,0
0046,YC20BPZ,Volkswagon Caddy MPV Van Small,Diesel,0,0,Miles,0
0047,YH20MVY,Volkswagen Caddy ,Diesel,24,0,Miles,0
0048,YC20LKL,Volkwagon Caddy Life MPV,Diesel,0,0,Miles,0
0049,YC20LKG,Volkswagon Caddy life MPV,Diesel,0,0,Miles,0
0050,YH20UTZ,Volkswagon Caddy WAV Van Small,Diesel,0,0,Miles,0
0051,YC20LKJ,Volkswagon Caddy life MPV,Diesel,0,0,Miles,0
0052,YC20LKK,Volkswagon Caddy Life MPV,Diesel,0,0,Miles,0
0053,YC20LKF,Volkswagon Caddy Life MPV,Diesel,0,0,Miles,0
0058,YH69KWL,Volkswagen  Caddy Maxi Life Van,Diesel,25,0,Miles,0
0071,YJ20CZT,  Custom WAV,Diesel,0,0,Miles,0
0072,YJ20CZU,  Custom WAV,Diesel,0,0,Miles,0
0080,YC59GZB,Ford Kuga Zetec 4x4 Utility Vehicle,Diesel,83027,7311,Miles,36.89
0081,YG10KZP,Peugeot Expert Welfare MPV Welfare,Diesel,223513,13264,Miles,58.76
0082,YG10ZHL,Peugeot Expert Welfare MPV Welfare,Diesel,233374,7010,Miles,46.89
0084,YG10TZO,Peugeot Expert Welfare MPV Welfare,Diesel,88679,6204,Miles,34.02
0085,YG10KZK,Peugeot Expert Welfare MPV Welfare,Diesel,112787,782,Miles,20.78
0086,YP59ZSK,Ford Mondeo car Car,Diesel,57892,4819,Miles,31.4
0095,YL63CHZ,Peugeot Expert Tepee MPV,Diesel,38763,6976,Miles,32.41
0096,YG63ETT,Peugeot 208 Car,Diesel,0,0,Miles,0
0097,YB63USD,Peugeot 308 Estate Car,Diesel,0,0,Miles,0
0098,YD14UWM,Peugeot Expert Tepee MPV,Diesel,58386,2952,Miles,38.03
0099,YG63ETR,Peugeot  7 Seater,Diesel,8342,508,Miles,23.02
0106,YF13TLN,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,43780,4475,Miles,42.93
0107,YB13YCG,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,55372,6885,Miles,46.73
0108,FP15SRO,Vauxhall Corsa Small Van,Diesel,78563,4363,Miles,58.36
0109,FP15STZ,Vauxhall Corsa Small Van,Diesel,37059,-318041,Miles,-9238.62
0110,FP15PUO,Vauxhall Corsa Small Van,Diesel,59217,1676,Miles,44.65
0111,FP15SMV,Vauxhall  Corsa Small Van,Diesel,43059,2685,Miles,42.1
0112,FP15SOA,Vauxhall  Corsa Small Van,Diesel,37260,901,Miles,33.92
0113,FP15RKK,Vauxhall Corsa Small Van,Diesel,74909,4397,Miles,53.71
0115,FP15RPO,Vauxhall Corsa Small Van,Diesel,58353,2721,Miles,50.38
0116,FP15PWF,Vauxhall Corsa Small Van,Diesel,63765,3236,Miles,51.73
